"bluestock_fintech_—_nifty_100__|__documents__|__1,585_records",unnamed:_1,unnamed:_2,unnamed:_3,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order
57,ADANIGREEN,2016,Null,57,,,False,False,0
58,ADANIGREEN,2015,Null,58,,,False,False,0
59,ADANIGREEN,2014,Null,59,,,False,False,0
60,ADANIGREEN,2013,Null,60,,,False,False,0
61,ADANIGREEN,2012,Null,61,,,False,False,0
62,ADANIGREEN,2011,Null,62,,,False,False,0
63,ADANIGREEN,2010,Null,63,,,False,False,0
64,ADANIGREEN,2009,Null,64,,,False,False,0
65,ADANIPORTS,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c3aba93e-4577-41bf-9623-f711be83882b.pdf,65,,,False,False,0
66,ADANIPORTS,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//fa93bdec-70e9-4c68-8978-c2add3549e79.pdf,66,,,False,False,0
67,ADANIPORTS,2022,https://www.bseindia.com/bseplus/AnnualReport/532921/73447532921.pdf,67,,,False,False,0
68,ADANIPORTS,2021,https://www.bseindia.com/bseplus/AnnualReport/532921/68598532921.pdf,68,,,False,False,0
69,ADANIPORTS,2020,https://www.bseindia.com/bseplus/AnnualReport/532921/5329210320.pdf,69,,,False,False,0
70,ADANIPORTS,2019,Null,70,,,False,False,0
71,ADANIPORTS,2018,Null,71,,,False,False,0
72,ADANIPORTS,2017,Null,72,,,False,False,0
73,ADANIPORTS,2016,https://www.bseindia.com/bseplus/AnnualReport/532921/5329210316.pdf,73,,,False,False,0
74,ADANIPORTS,2015,Null,74,,,False,False,0
75,ADANIPORTS,2014,Null,75,,,False,False,0
76,ADANIPORTS,2013,Null,76,,,False,False,0
77,ADANIPORTS,2012,Null,77,,,False,False,0
78,ADANIPORTS,2011,https://www.bseindia.com/bseplus/AnnualReport/532921/5329210311.pdf,78,,,False,False,0
79,ADANIPORTS,2010,Null,79,,,False,False,0
80,ADANIPORTS,2009,Null,80,,,False,False,0
81,ADANIPOWER,2024,https://www.bseindia.com/bseplus/AnnualReport/533096/73468533096.pdf,81,,,False,False,0
82,ADANIPOWER,2023,https://www.bseindia.com/bseplus/AnnualReport/533096/68599533096.pdf,82,,,False,False,0
83,ADANIPOWER,2022,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960320.pdf,83,,,False,False,0
84,ADANIPOWER,2021,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960319.pdf,84,,,False,False,0
85,ADANIPOWER,2020,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960318.pdf,85,,,False,False,0
86,ADANIPOWER,2019,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960317.pdf,86,,,False,False,0
87,ADANIPOWER,2018,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960316.pdf,87,,,False,False,0
88,ADANIPOWER,2017,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960315.pdf,88,,,False,False,0
89,ADANIPOWER,2016,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960314.pdf,89,,,False,False,0
90,ADANIPOWER,2015,Null,90,,,False,False,0
91,ADANIPOWER,2014,Null,91,,,False,False,0
92,ADANIPOWER,2013,Null,92,,,False,False,0
93,ADANIPOWER,2012,https://www.bseindia.com/bseplus/AnnualReport/533096/5330960312.pdf,93,,,False,False,0
94,ADANIPOWER,2011,Null,94,,,False,False,0
95,ADANIPOWER,2010,Null,95,,,False,False,0
96,ADANIPOWER,2009,Null,96,,,False,False,0
97,AMBUJACEM,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/70407daf-2a6b-4890-a5de-869f178fa185.pdf,97,,,False,False,0
98,AMBUJACEM,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//0341734f-bc68-4a01-bdb2-060a54d7d83d.pdf,98,,,False,False,0
99,AMBUJACEM,2022,https://www.bseindia.com/bseplus/AnnualReport/500425/72960500425.pdf,99,,,False,False,0
100,AMBUJACEM,2021,https://www.bseindia.com/bseplus/AnnualReport/500425/68366500425.pdf,100,,,False,False,0
101,AMBUJACEM,2020,https://www.bseindia.com/bseplus/AnnualReport/500425/68366500425.pdf,101,,,False,False,0
102,AMBUJACEM,2019,https://www.bseindia.com/bseplus/AnnualReport/500425/5004251219.pdf,102,,,False,False,0
103,AMBUJACEM,2018,https://www.bseindia.com/bseplus/AnnualReport/500425/5004251218.pdf,103,,,False,False,0
104,AMBUJACEM,2017,https://www.bseindia.com/bseplus/AnnualReport/500425/5004251216.pdf,104,,,False,False,0
105,AMBUJACEM,2016,https://www.bseindia.com/bseplus/AnnualReport/500425/5004251216.pdf,105,,,False,False,0
106,AMBUJACEM,2015,https://www.bseindia.com/bseplus/AnnualReport/500425/5004251215.pdf,106,,,False,False,0
107,AMBUJACEM,2014,Null,107,,,False,False,0
108,AMBUJACEM,2013,Null,108,,,False,False,0
109,AMBUJACEM,2012,Null,109,,,False,False,0
110,AMBUJACEM,2011,https://www.bseindia.com/bseplus/AnnualReport/500425/5004251211.pdf,110,,,False,False,0
111,AMBUJACEM,2010,Null,111,,,False,False,0
112,AMBUJACEM,2009,Null,112,,,False,False,0
113,APOLLOHOSP,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/93fc23fd-104c-47e7-bfc9-cf91d3d41e33.pdf,113,,,False,False,0
114,APOLLOHOSP,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//30d2900c-1d8f-4110-abf9-5e477e6ace9e.pdf,114,,,False,False,0
115,APOLLOHOSP,2022,https://www.bseindia.com/bseplus/AnnualReport/508869/74069508869.pdf,115,,,False,False,0
116,APOLLOHOSP,2021,https://www.bseindia.com/bseplus/AnnualReport/508869/69378508869.pdf,116,,,False,False,0
117,APOLLOHOSP,2020,https://www.bseindia.com/bseplus/AnnualReport/508869/65485508869.pdf,117,,,False,False,0
118,APOLLOHOSP,2019,Null,118,,,False,False,0
119,APOLLOHOSP,2018,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2018/APOLLO_HOSPITALS_ENTERPRISE_LTD-508869-MARCH-2018.PDF,119,,,False,False,0
120,APOLLOHOSP,2017,https://www.bseindia.com/bseplus/AnnualReport/508869/5088690317.pdf,120,,,False,False,0
121,APOLLOHOSP,2016,https://www.bseindia.com/bseplus/AnnualReport/508869/5088690316.pdf,121,,,False,False,0
122,APOLLOHOSP,2015,Null,122,,,False,False,0
123,APOLLOHOSP,2014,https://www.bseindia.com/bseplus/AnnualReport/508869/5088690314.pdf,123,,,False,False,0
124,APOLLOHOSP,2013,https://www.bseindia.com/bseplus/AnnualReport/508869/5088690313.pdf,124,,,False,False,0
125,APOLLOHOSP,2012,https://www.bseindia.com/bseplus/AnnualReport/508869/5088690312.pdf,125,,,False,False,0
126,APOLLOHOSP,2011,https://www.bseindia.com/bseplus/AnnualReport/508869/5088690311.pdf,126,,,False,False,0
127,APOLLOHOSP,2010,Null,127,,,False,False,0
128,APOLLOHOSP,2009,Null,128,,,False,False,0
129,ASIANPAINT,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/218b2e64-6a82-4ecf-8d19-f92bd77518c7.pdf,129,,,False,False,0
130,ASIANPAINT,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//e874970f-8a7b-41de-88f2-40928e65f3e7.pdf,130,,,False,False,0
131,ASIANPAINT,2022,https://www.bseindia.com/bseplus/AnnualReport/500820/73104500820.pdf,131,,,False,False,0
132,ASIANPAINT,2021,https://www.bseindia.com/bseplus/AnnualReport/500820/68521500820.pdf,132,,,False,False,0
133,ASIANPAINT,2020,https://www.bseindia.com/bseplus/AnnualReport/500820/5008200320.pdf,133,,,False,False,0
134,ASIANPAINT,2019,https://www.bseindia.com/bseplus/AnnualReport/500820/5008200319.pdf,134,,,False,False,0
135,ASIANPAINT,2018,https://www.bseindia.com/bseplus/AnnualReport/500820/5008200318.pdf,135,,,False,False,0
136,ASIANPAINT,2017,https://www.bseindia.com/bseplus/AnnualReport/500820/5008200317.pdf,136,,,False,False,0
137,ASIANPAINT,2016,https://www.bseindia.com/bseplus/AnnualReport/500820/5008200316.pdf,137,,,False,False,0
138,ASIANPAINT,2015,https://www.bseindia.com/bseplus/AnnualReport/500820/5008200315.pdf,138,,,False,False,0
139,ASIANPAINT,2014,https://www.bseindia.com/bseplus/AnnualReport/500820/5008200314.pdf,139,,,False,False,0
140,ASIANPAINT,2013,Null,140,,,False,False,0
141,ASIANPAINT,2012,Null,141,,,False,False,0
142,ASIANPAINT,2011,https://www.bseindia.com/bseplus/AnnualReport/500820/5008200311.pdf,142,,,False,False,0
143,ASIANPAINT,2010,Null,143,,,False,False,0
144,ASIANPAINT,2009,Null,144,,,False,False,0
145,ATGL,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f1d32eb9-7d5b-4c19-ab0a-27346cb11f29.pdf,145,,,False,False,0
146,ATGL,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//f0503b02-521f-4d15-a20c-49bf8044d791.pdf,146,,,False,False,0
147,ATGL,2022,https://www.bseindia.com/bseplus/AnnualReport/542066/73449542066.pdf,147,,,False,False,0
148,ATGL,2021,https://www.bseindia.com/bseplus/AnnualReport/542066/68596542066.pdf,148,,,False,False,0
