id,company_id,year,annual_report
1,ABB,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/270738a5-1a37-4f0f-9de6-e16dc27ff432.pdf
2,ABB,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//68827cf7-67af-4209-91f5-3854d3e1e8a2.pdf
3,ABB,2022,https://www.bseindia.com/bseplus/AnnualReport/500488/73779500488.pdf
4,ABB,2021,https://www.bseindia.com/bseplus/AnnualReport/500488/68744500488.pdf
5,ABB,2020,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880320.pdf
6,ABB,2019,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880319.pdf
7,ABB,2018,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880318.pdf
8,ABB,2017,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880317.pdf
9,ABB,2016,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880316.pdf
10,ABB,2015,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880315.pdf
11,ABB,2014,https://www.bseindia.com/bseplus/AnnualReport/500488/5004880314.pdf
12,ABB,2013,https://www.bseindia.com/bseplus/AnnualReport/500488/5004881212.pdf
13,ABB,2012,https://www.bseindia.com/bseplus/AnnualReport/500488/5004881211.pdf
14,ABB,2011,https://www.bseindia.com/bseplus/AnnualReport/500488/5004881210.pdf
15,ABB,2010,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2009/ABBOTT_INDIA_LTD-500488-MARCH-2009.PDF
16,ABB,2009,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2009/ABBOTT_INDIA_LTD-500488-MARCH-2009.PDF
17,ADANIENSOL,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/db15693a-a436-4d72-8bd4-20384a5901ec.pdf
18,ADANIENSOL,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//358ddfd2-4e21-40f8-aa09-f1e801e5bd48.pdf
19,ADANIENSOL,2022,https://www.bseindia.com/bseplus/AnnualReport/539254/73480539254.pdf
20,ADANIENSOL,2021,https://www.bseindia.com/bseplus/AnnualReport/539254/68602539254.pdf
21,ADANIENSOL,2020,https://www.bseindia.com/bseplus/AnnualReport/539254/5392540320.pdf
22,ADANIENSOL,2019,https://www.bseindia.com/bseplus/AnnualReport/539254/5392540319.pdf
23,ADANIENSOL,2018,https://www.bseindia.com/bseplus/AnnualReport/539254/5392540318.pdf
24,ADANIENSOL,2017,https://www.bseindia.com/bseplus/AnnualReport/539254/5392540317.pdf
25,ADANIENSOL,2016,https://www.bseindia.com/bseplus/AnnualReport/539254/5392540316.pdf
26,ADANIENSOL,2015,
27,ADANIENSOL,2014,
28,ADANIENSOL,2013,
29,ADANIENSOL,2012,
30,ADANIENSOL,2011,
31,ADANIENSOL,2010,
32,ADANIENSOL,2009,
33,ADANIENT,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/045307f4-4c12-4e61-9764-d48b84c5b233.pdf
