symbol,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,overall_score,health_label,computed_at
BRITANNIA,51.77,50.0,50.0,50.0,69.84,0.0,49.02,AVERAGE,2026-05-16 20:41:36.537829
GRASIM,51.77,50.0,50.0,50.0,12.94,0.0,46.18,AVERAGE,2026-05-16 20:41:36.549178
JSWSTEEL,51.77,50.0,50.0,50.0,21.12,0.0,46.59,AVERAGE,2026-05-16 20:41:36.553806
INDIGO,54.86,50.0,50.0,50.0,44.43,0.0,48.68,AVERAGE,2026-05-16 20:41:36.560140
AXISBANK,52.57,50.0,50.0,50.0,9.99,0.0,46.27,AVERAGE,2026-05-16 20:41:36.572462
TORNTPHARM,51.78,50.0,50.0,50.0,54.9,0.0,48.28,AVERAGE,2026-05-16 20:41:36.577076
HDFCBANK,54.39,50.0,50.0,50.0,20.46,0.0,47.34,AVERAGE,2026-05-16 20:41:36.587891
RECLTD,51.83,50.0,50.0,50.0,34.63,0.0,47.28,AVERAGE,2026-05-16 20:41:36.593422
PFC,51.78,50.0,50.0,50.0,29.31,0.0,47.0,AVERAGE,2026-05-16 20:41:36.595004
NAUKRI,51.77,50.0,50.0,50.0,0.0,0.0,45.53,AVERAGE,2026-05-16 20:41:36.606328
GODREJCP,51.77,50.0,50.0,50.0,28.13,0.0,46.94,AVERAGE,2026-05-16 20:41:36.609472
LTIM,51.77,50.0,50.0,50.0,50.33,0.0,48.05,AVERAGE,2026-05-16 20:41:36.615293
BAJAJHLDNG,51.82,50.0,50.0,50.0,20.74,0.0,46.58,AVERAGE,2026-05-16 20:41:36.624302
SIEMENS,51.76,50.0,50.0,50.0,30.26,0.0,47.04,AVERAGE,2026-05-16 20:41:36.625614
AMBUJACEM,51.77,50.0,50.0,50.0,51.28,0.0,48.1,AVERAGE,2026-05-16 20:41:36.627411
NHPC,51.8,50.0,50.0,50.0,56.23,0.0,48.35,AVERAGE,2026-05-16 20:41:36.634091
PNB,50.0,50.0,50.0,50.0,9.71,0.0,45.49,AVERAGE,2026-05-16 20:41:36.637753
ATGL,51.78,50.0,50.0,50.0,6.2,0.0,45.84,AVERAGE,2026-05-16 20:41:36.639836
HEROMOTOCO,54.99,50.0,50.0,50.0,68.09,0.0,49.9,AVERAGE,2026-05-16 20:41:36.641717
HINDUNILVR,58.6,50.0,50.0,50.0,100.0,0.0,52.58,AVERAGE,2026-05-16 20:41:36.650208
HDFCLIFE,52.36,50.0,50.0,50.0,23.22,0.0,46.87,AVERAGE,2026-05-16 20:41:36.651077
ADANIENT,51.76,50.0,50.0,50.0,8.75,0.0,45.97,AVERAGE,2026-05-16 20:41:36.653385
CANBK,45.48,50.0,50.0,50.0,11.04,0.0,44.2,AVERAGE,2026-05-16 20:41:36.655798
BOSCHLTD,51.77,50.0,50.0,50.0,43.67,0.0,47.71,AVERAGE,2026-05-16 20:41:36.660983
IRFC,51.83,50.0,50.0,50.0,27.31,0.0,46.91,AVERAGE,2026-05-16 20:41:36.668910
CIPLA,54.45,50.0,50.0,50.0,19.03,0.0,47.29,AVERAGE,2026-05-16 20:41:36.671861
IOC,51.76,50.0,50.0,50.0,5.04,0.0,45.78,AVERAGE,2026-05-16 20:41:36.680261
GAIL,51.77,50.0,50.0,50.0,41.86,0.0,47.62,AVERAGE,2026-05-16 20:41:36.684866
ICICIBANK,30.0,50.0,50.0,50.0,18.65,0.0,39.93,WEAK,2026-05-16 20:41:36.687176
ICICIGI,52.58,50.0,50.0,50.0,22.65,0.0,46.91,AVERAGE,2026-05-16 20:41:36.689500
ICICIPRULI,51.97,50.0,50.0,50.0,43.77,0.0,47.78,AVERAGE,2026-05-16 20:41:36.690560
JINDALSTEL,51.77,50.0,50.0,50.0,2.47,0.0,45.66,AVERAGE,2026-05-16 20:41:36.692767
EICHERMOT,51.77,50.0,50.0,50.0,26.93,0.0,46.88,AVERAGE,2026-05-16 20:41:36.694615
JSWENERGY,51.79,50.0,50.0,50.0,26.45,0.0,46.86,AVERAGE,2026-05-16 20:41:36.705307
KOTAKBANK,47.3,50.0,50.0,50.0,2.19,0.0,44.3,AVERAGE,2026-05-16 20:41:36.714770
ADANIPORTS,51.8,50.0,50.0,50.0,14.84,0.0,46.28,AVERAGE,2026-05-16 20:41:36.715408
MOTHERSON,51.76,50.0,50.0,50.0,34.06,0.0,47.23,AVERAGE,2026-05-16 20:41:36.716066
SHRIRAMFIN,51.77,50.0,50.0,50.0,17.13,0.0,46.39,AVERAGE,2026-05-16 20:41:36.727201
